,mass A
t,x
6.372,0.639
6.406,0.639
6.439,0.636
6.473,0.632
6.507,0.627
6.541,0.617
6.574,0.61
6.608,0.604
6.642,0.597
6.675,0.586
6.709,0.579
6.743,0.572
6.777,0.567
6.81,0.564
6.844,0.566
6.878,0.566
6.911,0.572
6.945,0.576
6.979,0.585
7.013,0.593
7.046,0.601
7.08,0.608
7.114,0.617
7.147,0.624
7.181,0.631
7.215,0.635
7.249,0.639
7.282,0.636
7.316,0.638
7.35,0.633
7.383,0.629
7.417,0.623
7.451,0.616
7.485,0.606
7.518,0.597
7.552,0.589
7.586,0.582
7.619,0.575
7.653,0.57
7.687,0.568
7.721,0.567
7.754,0.568
7.788,0.568
7.822,0.575
7.855,0.581
7.889,0.589
7.923,0.597
7.957,0.606
7.99,0.613
8.024,0.623
8.058,0.629
8.091,0.633
8.125,0.635
8.159,0.636
8.193,0.639
8.226,0.635
8.26,0.632
8.294,0.625
8.327,0.619
8.361,0.61
8.395,0.6
8.429,0.59
8.462,0.585
8.496,0.576
8.53,0.57
8.563,0.57
8.597,0.566
8.631,0.566
8.665,0.57
8.698,0.571
8.732,0.579
8.766,0.586
8.799,0.593
8.833,0.601
8.867,0.614
8.901,0.617
8.934,0.625
8.968,0.632
9.002,0.635
9.035,0.638
9.069,0.636
9.103,0.635
9.137,0.633
9.17,0.625
9.204,0.614
9.238,0.61
9.271,0.604
9.305,0.595
9.339,0.586
9.373,0.581
9.406,0.571
9.44,0.567
9.474,0.564
9.507,0.567
9.541,0.568
9.575,0.571
9.609,0.575
9.642,0.583
9.676,0.593
9.71,0.601
9.743,0.608
9.777,0.616
9.811,0.623
9.845,0.632
9.878,0.635
9.912,0.636
9.946,0.638
9.979,0.636
10.013,0.632
10.047,0.625
10.081,0.621
10.114,0.614
10.148,0.604
10.182,0.595
10.215,0.589
10.249,0.583
10.283,0.575
10.317,0.568
10.35,0.567
10.384,0.564
10.418,0.566
10.451,0.571
10.485,0.578
10.519,0.579
10.553,0.591
10.586,0.595
10.62,0.606
10.654,0.616
10.687,0.619
10.721,0.628
10.755,0.633
10.789,0.635
10.822,0.639
10.856,0.635
10.89,0.633
10.923,0.632
10.957,0.624
10.991,0.616
11.025,0.606
11.058,0.601
11.092,0.589
11.126,0.587
11.159,0.579
11.193,0.571
11.227,0.571
11.261,0.566
11.294,0.566
11.328,0.574
11.362,0.572
11.395,0.579
11.429,0.589
11.463,0.594
11.497,0.604
11.53,0.612
11.564,0.619
11.598,0.625
11.631,0.629
11.665,0.635
11.699,0.636
11.733,0.636
11.766,0.636
11.8,0.629
11.834,0.625
11.867,0.617
11.901,0.61
11.935,0.601
11.969,0.595
12.002,0.586
12.036,0.578
12.07,0.572
12.103,0.568
12.137,0.567
12.171,0.567
12.205,0.57
12.238,0.574
12.272,0.575
12.306,0.582
12.339,0.59
12.373,0.6
12.407,0.608
12.441,0.616
12.474,0.621
12.508,0.629
12.542,0.632
12.575,0.633
12.609,0.636
12.643,0.635
12.677,0.632
12.71,0.624
12.744,0.62
12.778,0.613
12.811,0.604
12.845,0.6
12.879,0.586
12.913,0.581
12.946,0.575
12.98,0.568
13.014,0.572
13.047,0.568
13.081,0.568
13.115,0.571
13.149,0.575
13.182,0.579
13.216,0.591
13.25,0.598
13.283,0.605
13.317,0.612
13.351,0.619
13.385,0.625
13.418,0.631
13.452,0.635
13.486,0.636
13.519,0.635
13.553,0.633
13.587,0.628
13.621,0.621
13.654,0.616
13.688,0.606
13.722,0.601
13.755,0.589
13.789,0.583
13.823,0.576
13.857,0.574
13.89,0.568
13.924,0.567
